table,scope,key,bin_order,actual_mass,iid_mass,delta,ratio,abs_delta,L1_share
bin_mass,late_growth|deep_32_63|even,0-1,0,0.01428150123953783,0.01723407937665942,-0.0029525781371215875,0.8286779309418556,0.0029525781371215875,0.02157055411120909
bin_mass,late_growth|deep_32_63|even,2-3,1,0.02456528191566405,0.030300210753233903,-0.005734928837569854,0.8107297376815186,0.005734928837569854,0.04189748317222596
bin_mass,late_growth|deep_32_63|even,4-7,2,0.043389462584251186,0.05494144791993904,-0.011551985335687853,0.789740063776232,0.011551985335687853,0.08439496372423602
bin_mass,late_growth|deep_32_63|even,8-15,3,0.08473639770151674,0.10121858179859698,-0.016482184097080244,0.8371624675607863,0.016482184097080244,0.12041335653984712
bin_mass,late_growth|deep_32_63|even,16-31,4,0.15927814954535452,0.19046568736915256,-0.031187537823798045,0.836256397387989,0.031187537823798045,0.22784578120579396
bin_mass,late_growth|deep_32_63|even,32-63,5,0.25895869145416994,0.3156285934680087,-0.05666990201383876,0.8204538397767733,0.05666990201383876,0.4140114608645452
bin_mass,late_growth|deep_32_63|even,64-95,6,0.041873176246877614,0.054174092007416505,-0.012300915760538891,0.7729372970597296,0.012300915760538891,0.08986640038214246
bin_mass,late_growth|deep_32_63|odd,0-1,0,0.011371811890601125,0.011253599216407882,0.00011821267419324238,1.010504432574859,0.00011821267419324238,0.00704191583526231
bin_mass,late_growth|deep_32_63|odd,2-3,1,0.02151941149234747,0.019770891428188504,0.0017485200641589663,1.0884391111301133,0.0017485200641589663,0.10415914547324201
bin_mass,late_growth|deep_32_63|odd,4-7,2,0.03392138108015119,0.035862428008386696,-0.0019410469282355042,0.94587519484789,0.0019410469282355042,0.1156279493227997
bin_mass,late_growth|deep_32_63|odd,8-15,3,0.06937097916601231,0.066110734604274,0.003260244561738318,1.0493149044743415,0.003260244561738318,0.19421240541942925
bin_mass,late_growth|deep_32_63|odd,16-31,4,0.12867941392054327,0.12435703756621054,0.004322376354332733,1.0347577944837372,0.004322376354332733,0.2574834780049246
bin_mass,late_growth|deep_32_63|odd,32-63,5,0.2039536329389166,0.20775354922603018,-0.0037999162871135694,0.9817095000240917,0.0037999162871135694,0.22636058999184594
bin_mass,late_growth|deep_32_63|odd,64-95,6,0.03501666648984015,0.03661335431576353,-0.0015966878259233777,0.9563905614286768,0.0015966878259233777,0.09511451595249616
bin_mass,late_growth|exhaustion_0_31|odd,0-1,0,0.04244254693985576,0.040780699890667224,0.0016618470491885362,1.040750822169407,0.0016618470491885362,0.04105698083101808
bin_mass,late_growth|exhaustion_0_31|odd,2-3,1,0.07635074676271912,0.07216471629898533,0.004186030463733795,1.0580066087475584,0.004186030463733795,0.10341852614625187
bin_mass,late_growth|exhaustion_0_31|odd,4-7,2,0.13427193530796402,0.13003968789997314,0.004232247407990886,1.032545813330822,0.004232247407990886,0.10456034494080228
bin_mass,late_growth|exhaustion_0_31|odd,8-15,3,0.25206860094075645,0.24291867482472734,0.009149926116029106,1.0376666228836915,0.009149926116029106,0.2260547030092053
bin_mass,late_growth|exhaustion_0_31|odd,16-31,4,0.4019291491514306,0.38406557094107135,0.01786357821035922,1.046511792677975,0.01786357821035922,0.4413309807988858
bin_mass,late_growth|exhaustion_0_31|odd,32-63,5,0.16141021705866943,0.15802724487177516,0.003382972186894262,1.021407524946975,0.003382972186894262,0.08357846427383671
