table,scope,key,bin_order,actual_mass,iid_mass,delta,ratio,abs_delta,L1_share,from_bin,from_actual_mass,from_iid_mass,conditional_actual,conditional_iid,conditional_delta,abs_conditional_delta
transition,ALL,0-1 -> 0-1,0,0.3244663709042216,0.3334133864332731,-0.008947015529051527,0.9731653979920746,0.008947015529051527,0.01915109816379155,0-1,0.3244663709042216,0.3334133864332731,1.0,1.0,0.0,0.0
transition,ALL,2-3 -> 0-1,1,0.3244663709042216,0.3334133864332731,-0.008947015529051527,0.9731653979920746,0.008947015529051527,0.01915109816379155,2-3,0.5710653445190149,0.5844033745724263,0.5681773093366511,0.5705192696349711,-0.0023419602983200116,0.0023419602983200116
transition,ALL,2-3 -> 2-3,1,0.24659897361408517,0.2509899881383195,-0.004391014524234349,0.9825052204002078,0.004391014524234349,0.0093989721957218,2-3,0.5710653445190149,0.5844033745724263,0.4318226906621088,0.42948073036360235,0.0023419602985064736,0.0023419602985064736
transition,ALL,4-7 -> 2-3,2,0.3244663709042216,0.3334133864332731,-0.008947015529051527,0.9731653979920746,0.008947015529051527,0.01915109816379155,4-7,1.002613104094158,1.0393354035598898,0.3236207162855415,0.3207947937607812,0.002825922524760327,0.002825922524760327
transition,ALL,4-7 -> 4-7,2,0.6781467331891144,0.705922017132278,-0.02777528394316353,0.960653891975211,0.02777528394316353,0.05945303074477815,4-7,1.002613104094158,1.0393354035598898,0.6763792837136388,0.6792052062446658,-0.002825922531027092,0.002825922531027092
transition,ALL,8-15 -> 4-7,3,0.3244663709042216,0.3334133864332731,-0.008947015529051527,0.9731653979920746,0.008947015529051527,0.01915109816379155,8-15,1.8318025905974524,1.8795882287198973,0.17712955127899185,0.1773863984349093,-0.0002568471559174501,0.0002568471559174501
transition,ALL,8-15 -> 8-15,3,1.5073362196905244,1.5461748422888544,-0.03883862259832993,0.9748808339548225,0.03883862259832993,0.08313412126221266,8-15,1.8318025905974524,1.8795882287198973,0.8228704487195306,0.8226136015662773,0.00025684715325335894,0.00025684715325335894
transition,ALL,16-31 -> 16-31,4,2.769139812293619,2.852082893273371,-0.082943080979752,0.9709184185440848,0.082943080979752,0.17753977074173405,16-31,3.093606183209028,3.185496279721681,0.895117105507322,0.8953339269077908,-0.00021682140046874743,0.00021682140046874743
transition,ALL,16-31 -> 8-15,4,0.3244663709042216,0.3334133864332731,-0.008947015529051527,0.9731653979920746,0.008947015529051527,0.01915109816379155,16-31,3.093606183209028,3.185496279721681,0.10488289448906178,0.10466607308748879,0.00021682140157298913,0.00021682140157298913
transition,ALL,32-63 -> 16-31,5,0.20814523139013164,0.21740720719502352,-0.009261975804891881,0.9573980277637093,0.009261975804891881,0.01982527103637993,32-63,1.9595323635153283,2.139742957482668,0.10622189011296901,0.10160435693210339,0.004617533180865621,0.004617533180865621
transition,ALL,32-63 -> 32-63,5,1.7513871321220238,1.9223357502733769,-0.1709486181513531,0.9110724450049673,0.1709486181513531,0.365915735426039,32-63,1.9595323635153283,2.139742957482668,0.8937781098854117,0.8983956430612288,-0.004617533175817035,0.004617533175817035
transition,ALL,64-95 -> 32-63,6,0.0309728808641432,0.03703212362544179,-0.0060592427612985895,0.836378739102724,0.0060592427612985895,0.012969816867208923,64-95,0.26643459904789457,0.3416618681236372,0.11624946975664929,0.1083882255541639,0.007861244202485393,0.007861244202485393
transition,ALL,64-95 -> 64-95,6,0.2354617181839659,0.30462974449715174,-0.06916802631318583,0.7729439506067913,0.06916802631318583,0.14805424863948619,64-95,0.26643459904789457,0.3416618681236372,0.883750530244156,0.8916117744427815,-0.00786124419862555,0.00786124419862555
transition,ALL,96-127 -> 64-95,7,0.0032908336639404434,0.005308200605192959,-0.0020173669412525156,0.6199527690647286,0.0020173669412525156,0.004318176513594417,96-127,0.01864440722465212,0.03170375111293965,0.17650513766880274,0.1674313107708714,0.009073826897931347,0.009073826897931347
transition,ALL,96-127 -> 96-127,7,0.015353573560713027,0.02639555050774018,-0.011041976947027153,0.5816727920188963,0.011041976947027153,0.02363536575388708,96-127,0.01864440722465212,0.03170375111293965,0.8234948623312696,0.8325686892289231,-0.00907382689765357,0.00907382689765357
transition,balanced|deep_32_63|even,0-1 -> 0-1,0,0.005194626796245632,0.005634077644024788,-0.000439450847779156,0.9220012794383097,0.000439450847779156,0.021401454047844753,0-1,0.005194626796245632,0.005634077644024788,1.0,1.0,0.0,0.0
transition,balanced|deep_32_63|even,2-3 -> 0-1,1,0.005194626796245632,0.005634077644024788,-0.000439450847779156,0.9220012794383097,0.000439450847779156,0.021401454047844753,2-3,0.009224433273076753,0.009916306660979502,0.5631377714452257,0.5681629095028684,-0.0050251380576427085,0.0050251380576427085
transition,balanced|deep_32_63|even,2-3 -> 2-3,1,0.004029806476831445,0.004282229016956109,-0.0002524225401246633,0.9410534702545895,0.0002524225401246633,0.012293091298877378,2-3,0.009224433273076753,0.009916306660979502,0.43686222855480944,0.43183709049727226,0.005025138057537182,0.005025138057537182
transition,balanced|deep_32_63|even,4-7 -> 2-3,2,0.005194626796245632,0.005634077644024788,-0.000439450847779156,0.9220012794383097,0.000439450847779156,0.021401454047844753,4-7,0.015871050351858013,0.017728128704290753,0.3273020172629911,0.317804419067714,0.009497598195277068,0.009497598195277068
transition,balanced|deep_32_63|even,4-7 -> 4-7,2,0.010676423555612206,0.012094051060271893,-0.0014176275046596867,0.8827830726367203,0.0014176275046596867,0.0690390974354929,4-7,0.015871050351858013,0.017728128704290753,0.672697982736998,0.6821955809326203,-0.009497598195622348,0.009497598195622348
