table,scope,key,bin_order,actual_mass,iid_mass,delta,ratio,abs_delta,L1_share
bin_mass,ALL,0-1,0,0.3244663709042216,0.3334133864332731,-0.008947015529051527,0.9731653979920746,0.008947015529051527,0.01915109816359003
bin_mass,ALL,2-3,1,0.5710653445190149,0.5844033745724263,-0.013338030053411387,0.9771766717412095,0.013338030053411387,0.02855007035948158
bin_mass,ALL,4-7,2,1.002613104094158,1.0393354035598898,-0.03672229946573191,0.964667517973551,0.03672229946573191,0.07860412889386538
bin_mass,ALL,8-15,3,1.8318025905974524,1.8795882287198973,-0.04778563812244485,0.9745765389502415,0.04778563812244485,0.10228521941436106
bin_mass,ALL,16-31,4,3.093606183209028,3.185496279721681,-0.09189009651265323,0.9711536010581429,0.09189009651265323,0.19669086891169613
bin_mass,ALL,32-63,5,1.9595323635153283,2.139742957482668,-0.18021059396733952,0.9157793260460823,0.18021059396733952,0.38574100648210774
bin_mass,ALL,64-95,6,0.26643459904789457,0.3416618681236372,-0.07522726907574262,0.7798195347672802,0.07522726907574262,0.16102406550769385
bin_mass,ALL,96-127,7,0.01864440722465212,0.03170375111293965,-0.013059343888287531,0.5880820587517969,0.013059343888287531,0.027953542267204173
bin_mass,balanced|deep_32_63|even,0-1,0,0.005194626796245632,0.005634077644024788,-0.000439450847779156,0.9220012794383097,0.000439450847779156,0.02140145404786451
bin_mass,balanced|deep_32_63|even,2-3,1,0.009224433273076753,0.009916306660979502,-0.000691873387902749,0.9302287220881078,0.000691873387902749,0.03369454534670111
bin_mass,balanced|deep_32_63|even,4-7,2,0.015871050351858013,0.017728128704290753,-0.0018570783524327408,0.8952467920664818,0.0018570783524327408,0.09044055148312398
bin_mass,balanced|deep_32_63|even,8-15,3,0.029992903000115628,0.03217238116302335,-0.002179478162907724,0.9322562370542637,0.002179478162907724,0.10614156733914085
bin_mass,balanced|deep_32_63|even,16-31,4,0.05422901352643173,0.05941919537657547,-0.005190181850143742,0.9126514282589925,0.005190181850143742,0.25276419177994885
bin_mass,balanced|deep_32_63|even,32-63,5,0.09647148325445334,0.104296623649724,-0.007825140395270658,0.9249722558464493,0.007825140395270658,0.3810878587077713
bin_mass,balanced|deep_32_63|even,64-95,6,0.013913339871167427,0.01626382803404726,-0.0023504881628798324,0.8554775568236924,0.0023504881628798324,0.11446983129544941
bin_mass,balanced|deep_32_63|odd,0-1,0,0.0034197090268135097,0.0036658633092448226,-0.0002461542824313129,0.932852301991036,0.0002461542824313129,0.022103815903694916
bin_mass,balanced|deep_32_63|odd,2-3,1,0.006107693076133854,0.006452315958841666,-0.0003446228827078115,0.9465892735405228,0.0003446228827078115,0.03094596072160435
bin_mass,balanced|deep_32_63|odd,4-7,2,0.010647027593850021,0.011536012873892623,-0.0008889852800426021,0.9229382552047526,0.0008889852800426021,0.0798278493352619
bin_mass,balanced|deep_32_63|odd,8-15,3,0.019624626111984924,0.020931432420121993,-0.0013068063081370686,0.9375672776756168,0.0013068063081370686,0.11734675412323646
bin_mass,balanced|deep_32_63|odd,16-31,4,0.03645364505648777,0.038671499178478536,-0.002217854121990763,0.9426488714141953,0.002217854121990763,0.19915574382669612
bin_mass,balanced|deep_32_63|odd,32-63,5,0.06281407960058524,0.06837006959437412,-0.005555989993788882,0.9187365169181273,0.005555989993788882,0.49890897193612355
bin_mass,balanced|deep_32_63|odd,64-95,6,0.01035843414664162,0.01093430125308194,-0.0005758671064403191,0.9473338905604045,0.0005758671064403191,0.051710904153382635
bin_mass,balanced|exhaustion_0_31|even,0-1,0,0.038334516811367535,0.03963242019615154,-0.0012979033847840063,0.9672514729516811,0.0012979033847840063,0.04060572915412463
bin_mass,balanced|exhaustion_0_31|even,2-3,1,0.06681294811963324,0.06898469607692104,-0.0021717479572877924,0.9685184094329241,0.0021717479572877924,0.06794450987530717
bin_mass,balanced|exhaustion_0_31|even,4-7,2,0.11814863985184021,0.12203018775562899,-0.003881547903788779,0.9681919041904471,0.003881547903788779,0.1214366837530337
bin_mass,balanced|exhaustion_0_31|even,8-15,3,0.2114041162789645,0.21850151886720154,-0.007097402588237045,0.967517834086313,0.007097402588237045,0.22204673365860533
bin_mass,balanced|exhaustion_0_31|even,16-31,4,0.34976953568990843,0.362436108120459,-0.012666572430550582,0.9650515714445849,0.012666572430550582,0.39628173826793234
bin_mass,balanced|exhaustion_0_31|even,32-63,5,0.12070896260741852,0.12555734156102766,-0.0048483789536091365,0.9613851416943823,0.0048483789536091365,0.15168460529099684
bin_mass,balanced|exhaustion_0_31|odd,0-1,0,0.02593573052883089,0.026350209046775146,-0.0004144785179442563,0.9842703897639483,0.0004144785179442563,0.044651593229150736
bin_mass,balanced|exhaustion_0_31|odd,2-3,1,0.04541576095224017,0.04584846019894689,-0.0004326992467067192,0.9905624039536085,0.0004326992467067192,0.046614504535327526
bin_mass,balanced|exhaustion_0_31|odd,4-7,2,0.07954981595870102,0.08113539666821096,-0.00158558070950994,0.9804575958876014,0.00158558070950994,0.1708139307778259
bin_mass,balanced|exhaustion_0_31|odd,8-15,3,0.14234409663079436,0.14520060410281183,-0.002856507472017461,0.9803271653746367,0.002856507472017461,0.30773032660213134
bin_mass,balanced|exhaustion_0_31|odd,16-31,4,0.23944424071911943,0.24167047969987365,-0.0022262389807542193,0.9907881219770038,0.0022262389807542193,0.23983177196383829
bin_mass,balanced|exhaustion_0_31|odd,32-63,5,0.08327392121547714,0.08504091861309014,-0.0017669973976130043,0.9792217978541331,0.0017669973976130043,0.1903578728917262
bin_mass,balanced|tail_64_95|even,0-1,0,0.0006081826984882349,0.0008809446786064698,-0.0002727619801182349,0.6903755857295082,0.0002727619801182349,0.015322248574626175
bin_mass,balanced|tail_64_95|even,2-3,1,0.0010215532541275004,0.0015506547356107568,-0.0005291014814832564,0.6587883367377335,0.0005291014814832564,0.029721973777193027
bin_mass,balanced|tail_64_95|even,4-7,2,0.0017717146039009078,0.0027733526247188385,-0.0010016380208179307,0.6388349566909197,0.0010016380208179307,0.05626644420940288
bin_mass,balanced|tail_64_95|even,8-15,3,0.0036426762759685675,0.005087140387943317,-0.0014444641119747493,0.7160557795105921,0.0014444641119747493,0.08114194717023962
bin_mass,balanced|tail_64_95|even,16-31,4,0.0066534151911736535,0.009543859494613153,-0.002890444303439499,0.6971409412438485,0.002890444303439499,0.16236905924064096
bin_mass,balanced|tail_64_95|even,32-63,5,0.012099107933043893,0.017531564219302118,-0.005432456286258224,0.6901328245270247,0.005432456286258224,0.30516513171211734
bin_mass,balanced|tail_64_95|even,64-95,6,0.011115739029645475,0.016416506953005214,-0.005300767923359739,0.6771074420073645,0.005300767923359739,0.29776761307758653
bin_mass,balanced|tail_64_95|even,96-127,7,0.0016510959267616273,0.0025811557932566066,-0.0009300598664949793,0.6396730995762421,0.0009300598664949793,0.052245582238193373
bin_mass,balanced|tail_64_95|odd,0-1,0,0.0005679587662220008,0.0005765913683382402,-8.632602116239417e-06,0.9850282147977364,8.632602116239417e-06,0.009507455136019539
bin_mass,balanced|tail_64_95|odd,2-3,1,0.0010498661756515484,0.0010147507790838177,3.511539656773075e-05,1.0346049466445695,3.511539656773075e-05,0.03867409304353202
bin_mass,balanced|tail_64_95|odd,4-7,2,0.001778230357170102,0.0018175892740553948,-3.9358916885292704e-05,0.978345538539917,3.9358916885292704e-05,0.04334766405894017
bin_mass,balanced|tail_64_95|odd,8-15,3,0.00340855461359024,0.0033259858125036265,8.256880108661359e-05,1.0248253617848297,8.256880108661359e-05,0.09093656366822968
bin_mass,balanced|tail_64_95|odd,16-31,4,0.00633374523520487,0.006245055805937921,8.868942926694955e-05,1.0142015431123326,8.868942926694955e-05,0.09767747411970672
bin_mass,balanced|tail_64_95|odd,32-63,5,0.010943974286316598,0.011474927956814077,-0.0005309536704974794,0.9537292371249977,0.0005309536704974794,0.5847620605684457
bin_mass,balanced|tail_64_95|odd,64-95,6,0.010725413042305745,0.010819297494774114,-9.3884452468369e-05,0.9913225001425724,9.3884452468369e-05,0.1033989760901453
bin_mass,balanced|tail_64_95|odd,96-127,7,0.0017168485939502702,0.0016880694434915939,2.8779150458676378e-05,1.0170485583810758,2.8779150458676378e-05,0.03169571331498088
bin_mass,early_growth|deep_32_63|even,0-1,0,0.008315030127763905,0.008913649497693908,-0.0005986193699300032,0.9328423929968443,0.0005986193699300032,0.023849385364172956
bin_mass,early_growth|deep_32_63|even,2-3,1,0.014481029969453352,0.015659578378428927,-0.0011785484089755754,0.9247394546331448,0.0011785484089755754,0.04695413577959906
bin_mass,early_growth|deep_32_63|even,4-7,2,0.02547724007368009,0.02786219172716934,-0.0023849516534892486,0.9144018648337846,0.0023849516534892486,0.09501802633890302
bin_mass,early_growth|deep_32_63|even,8-15,3,0.0472274934351378,0.05053814147816904,-0.0033106480430312377,0.934492089613914,0.0033106480430312377,0.13189837307240743
bin_mass,early_growth|deep_32_63|even,16-31,4,0.08637680176497528,0.09246244426787881,-0.006085642502903527,0.9341825478323672,0.006085642502903527,0.24245595871264136
bin_mass,early_growth|deep_32_63|even,32-63,5,0.1547598678531107,0.16601316570470973,-0.011253297851599037,0.9322144252606118,0.011253297851599037,0.4483387116457446
bin_mass,early_growth|deep_32_63|even,64-95,6,0.02539534071087678,0.025683624381327097,-0.0002882836704503171,0.988775584544839,0.0002882836704503171,0.011485409086531553
bin_mass,early_growth|deep_32_63|odd,0-1,0,0.005864525008201746,0.005793986827592602,7.053818060914416e-05,1.0121743771099412,7.053818060914416e-05,0.025577637710558994
bin_mass,early_growth|deep_32_63|odd,2-3,1,0.010495406603812022,0.010171130237700778,0.00032427636611124383,1.031882038527957,0.00032427636611124383,0.1175848786978037
bin_mass,early_growth|deep_32_63|odd,4-7,2,0.018261091107129816,0.018109382510753128,0.00015170859637668802,1.008377347835389,0.00015170859637668802,0.05501059826311034
bin_mass,early_growth|deep_32_63|odd,8-15,3,0.03352295187711829,0.032861554957513944,0.0006613969196043457,1.0201267688172229,0.0006613969196043457,0.2398271495866545
bin_mass,early_growth|deep_32_63|odd,16-31,4,0.06106267427803623,0.06015084283948809,0.0009118314385481371,1.0151590799979537,0.0009118314385481371,0.33063645797037605
